     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum            CV_value           Inst_Bias            Tot_Bias
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs                                  kJ/mol              kJ/mol
     104           45.48196998         16.35549853         29.12647145        262.28003892         93.67211348      14140.87579900          0.00000000          1.13541964          0.00000000          0.00000000
     105           45.50160201         17.02574738         28.47585463        247.89121898         97.51079965      14468.27646030          0.00000000          1.13518565          0.00000000          0.00000000
     106           45.51987583         17.66443789         27.85543795        233.49373838        101.16874316      14783.44829501          0.00000000          1.13494365          0.00000000          0.00000000
     107           45.53690385         18.26573828         27.27116557        219.25168250        104.61254393      15084.33930066          0.00000000          1.13469410          0.00000000          0.00000000
     108           45.55281488         18.82428117         26.72853371        205.36067710        107.81146160      15369.02686323          0.00000000          1.13443748          0.00000000          0.00000000
     109           45.56775259         19.33522689         26.23252570        192.05478549        110.73777812      15635.73687685          0.00000000          1.13417426          0.00000000          0.00000000
     110           45.58187376         19.79432057         25.78755320        179.61303099        113.36712474      15882.86114047          0.00000000          1.13390495          0.00000000          0.00000000
     111           45.59534635         20.19794223         25.39740412        168.36290699        115.67876899      16108.97282724          0.00000000          1.13363005          0.00000000          0.00000000
     112           45.60834746         20.54314936         25.06519810        158.67596498        117.65585835      16312.83984540          0.00000000          1.13335009          0.00000000          0.00000000
     113           45.62106117         20.82771133         24.79334984        150.94832684        119.28561731      16493.43593421          0.00000000          1.13306558          0.00000000          0.00000000
     114           45.63367630         21.05013520         24.58354110        145.55944474        120.55949559      16649.94936557          0.00000000          1.13277705          0.00000000          0.00000000
     115           45.64638407         21.20968277         24.43670130        142.80992489        121.47326524      16781.78915056          0.00000000          1.13248506          0.00000000          0.00000000
     116           45.65937581         21.30637838         24.35299742        142.85471395        122.02706569      16888.58868006          0.00000000          1.13219013          0.00000000          0.00000000
     117           45.67284055         21.34100756         24.33183299        145.66121717        122.22539582      16970.20675928          0.00000000          1.13189281          0.00000000          0.00000000
     118           45.68696276         21.31510638         24.37185639        151.01573073        122.07705313      17026.72602753          0.00000000          1.13159364          0.00000000          0.00000000
     119           45.70192006         21.23094172         24.47097834        158.57473160        121.59502069      17058.44878596          0.00000000          1.13129317          0.00000000          0.00000000
     120           45.71788102         21.09148264         24.62639837        167.93385281        120.79630294      17065.89028739          0.00000000          1.13099194          0.00000000          0.00000000
     121           45.73500309         20.90036309         24.83464000        178.68660770        119.70171249      17049.76957303          0.00000000          1.13069049          0.00000000          0.00000000
     122           45.75343067         20.66183656         25.09159411        190.46038297        118.33561017      17010.99797054          0.00000000          1.13038935          0.00000000          0.00000000
     123           45.77329331         20.38072308         25.39257023        202.93150064        116.72560159      16950.66539640          0.00000000          1.13008905          0.00000000          0.00000000
     124           45.79470411         20.06234930         25.73235481        215.82678718        114.90219368      16870.02463217          0.00000000          1.12979011          0.00000000          0.00000000
     125           45.81775828         19.71248218         26.10527610        228.91854986        112.89841544      16770.47376880          0.00000000          1.12949303          0.00000000          0.00000000
     126           45.84253199         19.33725740         26.50527460        242.01738174        110.74940735      16653.53703578          0.00000000          1.12919832          0.00000000          0.00000000
     127           45.86908138         18.94310299         26.92597838        254.96504218        108.49198450      16520.84425134          0.00000000          1.12890647          0.00000000          0.00000000
     128           45.89744183         18.53665944         27.36078238        267.62830990        106.16417858      16374.10914685          0.00000000          1.12861795          0.00000000          0.00000000
     129           45.92762754         18.12469700         27.80293054        279.89401663        103.80476452      16215.10683268          0.00000000          1.12833322          0.00000000          0.00000000
     130           45.95963127         17.71403129         28.24559997        291.66517454        101.45277725      16045.65068288          0.00000000          1.12805272          0.00000000          0.00000000
     131           45.99342443         17.31143835         28.68198608        302.85801425         99.14702474      15867.56892352          0.00000000          1.12777689          0.00000000          0.00000000
     132           46.02895739         16.92356989         29.10538749        313.39974233         96.92560311      15682.68121323          0.00000000          1.12750614          0.00000000          0.00000000
     133           46.06616002         16.55687010         29.50928992        323.22685193         94.82541984      15492.77550452          0.00000000          1.12724086          0.00000000          0.00000000
     134           46.10494256         16.21749480         29.88744776        332.28385245         92.88173090      15299.58547115          0.00000000          1.12698142          0.00000000          0.00000000
     135           46.14519667         15.91123407         30.23396260        340.52231453         91.12769753      15104.76877999          0.00000000          1.12672817          0.00000000          0.00000000
     136           46.18679671         15.64343922         30.54335749        347.90015178         89.59396811      14909.88647541          0.00000000          1.12648144          0.00000000          0.00000000
     137           46.22960125         15.41895512         30.81064612        354.38108026         88.30829039      14716.38373072          0.00000000          1.12624154          0.00000000          0.00000000
     138           46.27345479         15.24205858         31.03139620        359.93421177         87.29515878      14525.57220438          0.00000000          1.12600876          0.00000000          0.00000000
     139           46.31818962         15.11640371         31.20178591        364.53374823         86.57550123      14338.61421878          0.00000000          1.12578336          0.00000000          0.00000000
     140           46.36362787         15.04497478         31.31865308        368.15875290         86.16640957      14156.50895740          0.00000000          1.12556558          0.00000000          0.00000000
     141           46.40958362         15.03004741         31.37953622        370.79298052         86.08091668      13980.08085074          0.00000000          1.12535563          0.00000000          0.00000000
     142           46.45586522         15.07315825         31.38270697        372.42475316         86.32782344      13809.97029476          0.00000000          1.12515369          0.00000000          0.00000000
     143           46.50227754         15.17508389         31.32719365        373.04687238         86.91157764      13646.62681662          0.00000000          1.12495994          0.00000000          0.00000000
     144           46.54862443         15.33582908         31.21279535        372.65656115         87.83220635      13490.30477204          0.00000000          1.12477452          0.00000000          0.00000000
     145           46.59471102         15.55462440         31.04008662        371.25543133         89.08530297      13341.06162744          0.00000000          1.12459753          0.00000000          0.00000000
     146           46.64034618         15.82993359         30.81041259        368.84947471         90.66206896      13198.75884781          0.00000000          1.12442906          0.00000000          0.00000000
     147           46.68534476         16.15947034         30.52587442        365.44907745         92.54941002      13063.06537864          0.00000000          1.12426919          0.00000000          0.00000000
     148           46.72952994         16.54022440         30.18930555        361.06905956         94.73008565      12933.46367823          0.00000000          1.12411795          0.00000000          0.00000000
     149           46.77273532         16.96849669         29.80423863        355.72874339         97.18291035      12809.25822463          0.00000000          1.12397535          0.00000000          0.00000000
     150           46.81480697         17.43994308         29.37486389        349.45205738         99.88300413      12689.58639042          0.00000000          1.12384138          0.00000000          0.00000000
     151           46.85560533         17.94962619         28.90597914        342.26768405        102.80208933      12573.43154897          0.00000000          1.12371602          0.00000000          0.00000000
     152           46.89500689         18.49207467         28.40293221        334.20926548        105.90883023      12459.63824775          0.00000000          1.12359921          0.00000000          0.00000000
     153           46.93290569         19.06134934         27.87155636        325.31568376        109.16921147      12346.92925793          0.00000000          1.12349086          0.00000000          0.00000000
     154           46.96921466         19.65111510         27.31809955        315.63144113        112.54695052      12233.92428594          0.00000000          1.12339088          0.00000000          0.00000000
     155           47.00386660         20.25471819         26.74914842        305.20717288        116.00393940      12119.16011134          0.00000000          1.12329915          0.00000000          0.00000000
     156           47.03681508         20.86526735         26.17154774        294.10033832        119.50071022      12001.11189722          0.00000000          1.12321552          0.00000000          0.00000000
     157           47.06803492         21.47571834         25.59231658        282.37615138        122.99691883      11878.21540384          0.00000000          1.12313984          0.00000000          0.00000000
     158           47.09752253         22.07896053         25.01856200        270.10883426        126.45184079      11748.88982457          0.00000000          1.12307192          0.00000000          0.00000000
     159           47.12529594         22.66790455         24.45739139        257.38330634        129.82487346      11611.56095482          0.00000000          1.12301157          0.00000000          0.00000000
     160           47.15139451         23.23556997         23.91582454        244.29745667        133.07603817      11464.68439937          0.00000000          1.12295859          0.00000000          0.00000000
     161           47.17587848         23.77517192         23.40070656        230.96518999        136.16647623      11306.76852281          0.00000000          1.12291274          0.00000000          0.00000000
     162           47.19882817         24.28020555         22.91862262        217.52047414        139.05893270      11136.39684990          0.00000000          1.12287378          0.00000000          0.00000000
     163           47.22034297         24.74452732         22.47581566        204.12262481        141.71822193      10952.24962866          0.00000000          1.12284145          0.00000000          0.00000000
     164           47.24054009         25.16243207         22.07810802        190.96298115        144.11166911      10753.12427910          0.00000000          1.12281551          0.00000000          0.00000000
     165           47.25955305         25.52872503         21.73082802        178.27281924        146.20952235      10537.95446301          0.00000000          1.12279567          0.00000000          0.00000000
     166           47.27753004         25.83878766         21.43874238        166.33157482        147.98533015      10305.82752712          0.00000000          1.12278164          0.00000000          0.00000000
     167           47.29463200         26.08863673         21.20599527        155.47283201        149.41627952      10056.00009133          0.00000000          1.12277315          0.00000000          0.00000000
     168           47.31103063         26.27497573         21.03605490        146.08280287        150.48349054       9787.91157588          0.00000000          1.12276989          0.00000000          0.00000000
