istep  E_tot                                     E_kin                                    E_pot                F_norm                Temp                   Pressure              COM_momentum  CV_value     Inst_Bias     Tot_Bias
none   kJ/mol                                    kJ/mol                                   kJ/mol               kJ/(Åmol)             K                      Pa                    gÅ/fs         kJ/mol       kJ/mol
167    114.06356875                              65.78034238                              48.28322636          381.61200692          239.74414914           -2160425.26493802     0.00000000    0.52814890   0.00000000    0.00000000
168    114.15715255                              66.17836500                              47.97878755          374.09342345          241.19478912           -2067842.78371739     0.00000000    0.52753358   0.00000000    0.00000000
169    114.24943649                              66.51965145                              47.72978504          367.33531873          242.43864748           -1972770.57032920     0.00000000    0.52692775   0.00000000    0.00000000
170    114.34063627                              66.80123758                              47.53939869          361.43878861          243.46492105           -1875447.41229492     0.00000000    0.52633110   0.00000000    0.00000000
171    114.43097541                              67.02097486                              47.41000056          356.49180351          244.26577926           -1776108.93471905     0.00000000    0.52574331   0.00000000    0.00000000
172    114.52068264                              67.17755605                              47.34312660          352.56541386          244.83645771           -1674986.65625725     0.00000000    0.52516404   0.00000000    0.00000000
173    114.60998906                              67.27053010                              47.33945897          349.71030014          245.17531251           -1572307.18882137     0.00000000    0.52459291   0.00000000    0.00000000
174    114.69912541                              67.30030623                              47.39881917          347.95403678          245.28383512           -1468291.58606999     0.00000000    0.52402954   0.00000000    0.00000000
175    114.78831928                              67.26814707                              47.52017221          347.29940465          245.16662728           -1363154.84368728     0.00000000    0.52347352   0.00000000    0.00000000
176    114.87779245                              67.17615087                              47.70164158          347.72398305          244.83133639           -1257105.55233980     0.00000000    0.52292442   0.00000000    0.00000000
177    114.96775826                              67.02722326                              47.94053500          349.18109472          244.28855229           -1150345.70227732     0.00000000    0.52238181   0.00000000    0.00000000
178    115.05841908                              66.82503858                              48.23338050          351.60200127          243.55166658           -1043070.63590979     0.00000000    0.52184522   0.00000000    0.00000000
179    115.14996399                              66.57399154                              48.57597245          354.89909197          242.63669628           -935469.14353468      0.00000000    0.52131421   0.00000000    0.00000000
180    115.24256659                              66.27913966                              48.96342693          358.96971129          241.56207413           -827723.69449239      0.00000000    0.52078831   0.00000000    0.00000000
181    115.33638301                              65.94613724                              49.39024576          363.70024366          240.34840790           -720010.79465845      0.00000000    0.52026702   0.00000000    0.00000000
182    115.43155015                              65.58116175                              49.85038840          368.97011166          239.01821204           -612501.45920696      0.00000000    0.51974988   0.00000000    0.00000000
183    115.52818417                              65.19083336                              50.33735081          374.65542568          237.59561459           -505361.78794645      0.00000000    0.51923641   0.00000000    0.00000000
184    115.62637926                              64.78212890                              50.84425036          380.63212081          236.10604339           -398753.62903441      0.00000000    0.51872612   0.00000000    0.00000000
185    115.72620660                              64.36229103                              51.36391557          386.77851000          234.57589519           -292835.31556200      0.00000000    0.51821853   0.00000000    0.00000000
186    115.82771376                              63.93873396                              51.88897980          392.97725600          233.03219191           -187762.45838984      0.00000000    0.51771317   0.00000000    0.00000000
187    115.93092420                              63.51894671                              52.41197748          399.11681393          231.50222822           -83688.77772486       0.00000000    0.51720958   0.00000000    0.00000000
188    116.03583726                              63.11039534                              52.92544192          405.09242295          230.01321496           19233.04472903        0.00000000    0.51670730   0.00000000    0.00000000
189    116.14242831                              62.72042504                              53.42200327          410.80673451          228.59192260           120850.51162236       0.00000000    0.51620588   0.00000000    0.00000000
190    116.25064925                              62.35616366                              53.89448559          416.17016154          227.26432941           221010.47254455       0.00000000    0.51570490   0.00000000    0.00000000
191    116.36042932                              62.02442758                              54.33600174          421.10102312          226.05527847           319558.32196546       0.00000000    0.51520393   0.00000000    0.00000000
192    116.47167612                              61.73163124                              54.74004489          425.52554680          224.98814799           416337.25078908       0.00000000    0.51470259   0.00000000    0.00000000
193    116.58427698                              61.48370144                              55.10057554          429.37777785          224.08453885           511187.56914350       0.00000000    0.51420050   0.00000000    0.00000000
